,,,,,,,,,,,,,,,,,
,,,,,D? li?u t? ngày: 29/01/2019 d?n ngày: 15/04/2023,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Ngày,Room,Room còn l?i,,GD KH?P L?NH MUA,,,,GD KH?P L?NH BÁN,,,,Chênh l?ch Mua Bán Kh?p l?nh,,GD TH?A THU?N MUA,,,
,NÐTNN,,,,,,,,,,,,,,,,
23/05/2022,"358,805,667",-,,-,,-,,-,,-,,-,-,"595,100",100,"85,277,830,000",100
20/05/2022,"358,805,667",-,,-,,-,,-,,-,,-,-,"76,100",100,"10,829,030,000",100
19/05/2022,"358,805,667",-,,-,,-,,-,,-,,-,-,-,,-,
18/05/2022,"358,805,667",-,,-,,-,,-,,-,,-,-,-,,-,
17/05/2022,"358,805,667",-,,"1,000",0.09,"124,900,000",0.09,-,,-,,"1,000","124,900,000",-,,-,
16/05/2022,"358,805,667",-,,"1,000",0.07,-,,-,,-,,"1,000",-,"29,700",100,"3,973,860,000",100
13/05/2022,"358,805,667",-,,-,,-,,-,,-,,-,-,"849,700",100,"122,186,860,000",100
12/5/2022,"358,805,667",-,,"2,500",0.15,"349,750,000",0.15,"1,000",0.06,"137,500,000",0.06,"1,500","212,250,000","128,300",100,"19,347,640,000",100
11/5/2022,"358,805,667",-,,-,,-,,"1,000",0.09,"138,170,000",0.09,"-1,000","-138,170,000","195,400",49.42,"29,290,460,000",51.11
10/5/2022,"358,805,667",-,,-,,-,,"5,000",0.27,"668,000,000",0.27,"-5,000","-668,000,000","355,000",44.1,"51,794,500,000",47.54
9/5/2022,"358,805,667",-,,400,0.01,"57,680,000",0.02,"2,500",0.09,"349,310,000",0.09,"-2,100","-291,630,000","301,100",100,"46,972,720,000",100
6/5/2022,"358,805,667",-,,"2,400",0.22,"351,600,000",0.22,-,,-,,"2,400","351,600,000","271,200",93.13,"43,337,760,000",93.53
5/5/2022,"358,805,667",-,,-,,-,,-,,-,,-,-,"550,200","1,096.02","87,976,980,000","1,096.02"
4/5/2022,"358,805,667",-,,-,,-,,400,0.03,"60,320,000",0.03,-400,"-60,320,000","114,700",100,"18,306,120,000",100
29/04/2022,"358,805,667",-,,-,,-,,"2,400",0.14,"356,400,000",0.14,"-2,400","-356,400,000","1,177,500",100,"182,630,250,000",100
28/04/2022,"358,805,667",-,,-,,-,,-,,-,,-,-,"705,500",100,"111,116,250,000",100
27/04/2022,"358,805,667",-,,-,,-,,-,,-,,-,-,"520,700",76.49,"82,895,440,000",78.85
26/04/2022,"358,805,667",-,,-,,-,,"40,000",1.47,"5,818,850,000",1.47,"-40,000","-5,818,850,000","889,000",77.25,"137,795,000,000",79.59
25/04/2022,"358,805,667",-,,-,,-,,-,,-,,-,-,"320,000",69.65,"49,834,000,000",69.64
22/04/2022,"358,805,667",-,,-,,-,,-,,-,,-,-,"590,000",100,"98,117,000,000",100
21/04/2022,"358,805,667",-,,-,,-,,-,,-,,-,-,-,,-,
20/04/2022,"358,805,667",-,,-,,-,,-,,-,,-,-,"300,000",100,"50,070,000,000",100
19/04/2022,"358,805,667",-,,-,,-,,-,,-,,-,-,"796,200",100,"136,468,680,000",100
18/04/2022,"358,805,667",-,,-,,-,,"3,800",0.15,"612,110,000",0.15,"-3,800","-612,110,000","316,900",100,"54,316,660,000",100
15/04/2022,"358,805,667",-,,-,,-,,-,,-,,-,-,"620,000",100,"105,772,000,000",100
